feature,importance_all,importance_remove_high_risk,importance_weighted
l_LAC11,4.228572789151854e-06,8.838180700930324e-06,6.131713923217178e-06
l_LAC12,3.1266786424521345e-05,3.437848550590067e-05,6.7707615147401395e-06
l_LAC13,0.0001822851381815443,0.00013553068136087226,0.00018574065801972141
l_LAC14,0.0,0.0,0.0
l_LAC15,4.442907671270852e-06,0.0,0.0
l_LAC16,4.238452099697746e-06,3.5979999403848934e-06,4.2143724377981275e-06
l_LAC17,0.0,0.0,0.0
l_LAC18,3.826639524224011e-06,4.221083889432302e-06,3.063639982713496e-06
l_LAC19,0.0001198800042539852,7.66575142437589e-05,8.914261090719805e-05
l_LAC2,5.105349659220607e-06,1.5314689833387698e-05,1.6193764829789544e-05
l_LAC20,6.386258981056867e-07,6.086444774316531e-07,8.228826380448215e-07
l_LAC21,0.00018335114466731074,0.00015274603461715218,0.00011134126345777256
l_LAC22,0.0,0.0,0.0
l_LAC3,0.00023656130398443025,0.00010158064348759533,0.00013007788510674553
l_LAC4,4.527637913691892e-05,1.12466330899024e-05,8.990888948919406e-06
l_LAC5,1.3526365671217347e-06,3.0556033391039516e-17,4.0223063837963e-21
l_LAC6,0.0008527436405501927,0.00020064942989740626,0.0003385705442712259
l_LAC7,0.0002076356967017547,0.00015287200544569793,0.000144038059097698
l_LAC8,1.4069559297274957e-19,0.0,0.0
l_LAC9,0.00010037830348826702,2.4829192728823615e-05,2.0343008177197158e-05
l_SOL1,0.0011306493330791934,0.0008835913674580329,0.0008203348563025364
l_SOL10,0.0010061588996949232,0.0005266971461468577,0.0011425957173094206
l_SOL11,0.002458179651635779,0.001964540580900733,0.0026965892981620325
l_SOL12,0.0005820297349123694,0.00026883058779190934,0.0004044841308495543
l_SOL13,0.0007162955088958073,0.0007037452523054591,0.0008268606329269327
l_SOL14,0.0016760049136606652,0.0012140300757943587,0.0012258917951999781
l_SOL15,0.0017628111337420955,0.001663622637753619,0.0016347624429370615
l_SOL16,0.0006418969971101814,0.00032857271483372185,0.00041315963791383565
l_SOL17,0.0015459589465712466,0.0017840859274440364,0.0014442204757878388
l_SOL18,0.0010054084252040085,0.0010755056460211934,0.0008924789344061485
l_SOL19,0.0018864932771535097,0.0017299587017389035,0.0018256429453271977
l_SOL2,0.002382939242561258,0.001237447928480432,0.0015106208051650014
l_SOL20,0.00046308966689559975,0.000241811356327377,0.0004202906416247039
l_SOL21,0.022900755111130922,0.022894444948514822,0.024048308971050203
l_SOL22,0.019586013728035697,0.019356660086022985,0.01950940284809161
l_SOL23,0.023286967382692557,0.023393186506861736,0.022084549527881546
l_SOL24,0.0004976687057184516,0.0002213329764749279,0.0003227997895612061
l_SOL25,0.005349280613431896,0.006577315216847867,0.0061002859855051545
l_SOL26,0.0036852282916499594,0.003278284679484651,0.0035514167374441365
l_SOL27,0.007268241135783632,0.008197415069530978,0.007793386474489231
l_SOL28,0.0005514446333443097,0.0003381774291646976,0.0004874554626427953
l_SOL29,0.0006902867483219007,0.0003404860713205886,0.00037930143355006317
l_SOL3,0.002826731369679877,0.001643594915251262,0.0025324860686535334
l_SOL30,0.000587637632712369,0.00040360458824715515,0.0004799285495314664
l_SOL31,0.0015560353943429575,0.0007857006442015852,0.0009629431279937581
l_SOL32,0.0006085991117374725,0.0003357316969445377,0.0004315182466049159
l_SOL33,0.0018068784975187747,0.0021995197094706615,0.0019831294770884904
l_SOL34,0.011591064505488993,0.0075804762466325235,0.008612773108235045
l_SOL35,0.00771032783120424,0.005551980596584883,0.007541434592531154
l_SOL36,0.0021199113815931906,0.0019259680741516886,0.0026643932150045777
