axis,regime,D_km,seed,n_truth,n_high,n_displaced,mu_u,rho_u,ceil_seed,ceil_mcar,auc,brier,ess,sp_ALL,D_ALL,sp_FILTER,D_FILTER,sp_IPW_est,D_IPW_est,sp_IPW_oracle,D_IPW_oracle,sp_SMITH_env,D_SMITH_env,sp_ALL_calib,D_ALL_calib
long_range,toward_HQ,10.0,1,2923,1544,239,-0.07713079313759168,0.6908944311156265,0.8759938491756439,0.8409728101071131,0.791649680439757,0.18424948454191467,0.525763743396002,0.8572882841341134,0.8858704699088011,0.729465813205481,0.7783401762985261,0.6936603487668714,0.7827871336727295,0.7116005439143787,0.7925726815726808,0.8659302100636008,0.8881721837930174,0.8546132441507335,0.8892584422896892
long_range,toward_HQ,10.0,2,2923,1592,251,-0.10739693330905006,0.6166705558195158,0.8759938491756439,0.8409728101071131,0.7852509164907935,0.18338273029026828,0.47928628263424206,0.8600186325981236,0.88006267646084,0.7321234474125916,0.7616185671872608,0.6820543340515842,0.764261583290246,0.695837890531577,0.7745869073953116,0.8597563331203272,0.8836428053230152,0.8575666099636354,0.8843153784715805
long_range,away_HQ,10.0,0,2923,1567,243,-0.31084012110157355,0.5099751663812615,0.8759938491756439,0.8409728101071131,0.7702044660051616,0.19239928367324277,0.41589784808166935,0.853306896744636,0.8763385444257752,0.7262719903139334,0.7716441673983392,0.7028794025280494,0.7681896255226195,0.6994634557798536,0.7839907819364531,0.8526675991774499,0.8881518193417157,0.847759897517701,0.8898825719149019
long_range,away_HQ,10.0,1,2923,1544,239,-0.314259553400238,0.48008461999006596,0.8759938491756439,0.8409728101071131,0.8076647961464904,0.175481026274142,0.5985397062305161,0.8609240219633033,0.8720736397111386,0.729465813205481,0.778340176298526,0.6961720800592851,0.7821336131342048,0.7116005439143787,0.7925726815726808,0.8659302100636008,0.8881721837930174,0.8546132441507335,0.8892584422896892
long_range,away_HQ,10.0,2,2923,1592,251,-0.31399765379299865,0.48135179071130735,0.8759938491756439,0.8409728101071131,0.7962551770875415,0.17986548451656975,0.45117173557723755,0.8569365179088895,0.8729005670685875,0.7321234474125916,0.7616185671872608,0.6939624247243169,0.764032088390202,0.695837890531577,0.7745869073953116,0.8597563331203272,0.8836428053230152,0.8575666099636354,0.8843153784715805
short_range,iso,10.0,0,2923,1583,76,0.1023855980747412,0.48251669998661045,0.8759938491756439,0.8409728101071131,0.7955221523462913,0.18333364734899182,0.5744515995954838,0.8608559073617735,0.9158859904638856,0.8125072105679453,0.8539048969226366,0.8069294625821506,0.8427397056927457,0.8163668533140741,0.8715638326183072,0.8599147604186503,0.9189223792696734,0.8620599850418993,0.9199910561796009
short_range,iso,10.0,1,2923,1533,69,0.20368221852668297,0.4811661376640198,0.8759938491756439,0.8409728101071131,0.8195938748023108,0.16930312870111883,0.35467623365116857,0.8649485475663943,0.9130675784517583,0.7967189102930426,0.8389687739401661,0.7852740061220763,0.8257793884699053,0.7855406504762037,0.860102832767406,0.8559564901158476,0.9135708632282238,0.8627447358639434,0.9140113695760153
short_range,iso,10.0,2,2923,1589,70,0.04606484841909871,0.39783149366052506,0.8759938491756439,0.8409728101071131,0.8169350661359062,0.17155697739576606,0.5079575631423452,0.8605161006746113,0.9149208288588687,0.8174604206141486,0.8624387580463857,0.8126690982124312,0.8547879648629729,0.8103740646926062,0.8788688600305301,0.8590886156155656,0.9192458622499192,0.8583525072050728,0.9198265745998884
short_range,toward_HQ,10.0,0,2923,1583,76,0.2711841373961245,0.5478005943031848,0.8759938491756439,0.8409728101071131,0.7885737924401994,0.1857837464017206,0.5955080265180052,0.8594737087561088,0.9166610663570485,0.8125072105679453,0.8539048969226366,0.8091104909918061,0.8408058403727987,0.8163668533140741,0.871563832618307,0.8599147604186503,0.9189223792696734,0.8620599850418993,0.9199910561796009
short_range,toward_HQ,10.0,1,2923,1533,69,0.3856992521563005,0.5316849519725276,0.8759938491756439,0.8409728101071131,0.820448220679816,0.16778145924752674,0.4116879476031859,0.8602217808393419,0.9129500832551022,0.7967189102930426,0.8389687739401661,0.7783968383424159,0.8275571240942938,0.7855406504762037,0.8601028327674061,0.8559564901158476,0.9135708632282238,0.8627447358639434,0.9140113695760153
short_range,toward_HQ,10.0,2,2923,1589,70,0.251327791705049,0.3712343534894299,0.8759938491756439,0.8409728101071131,0.8044261380952067,0.17709116209569606,0.37499107464007103,0.8602601636025196,0.9181485950956767,0.8174604206141486,0.8624387580463857,0.8059687000846006,0.845684559366671,0.8103740646926062,0.8788688600305301,0.8590886181237161,0.9192458622499192,0.8583525072050728,0.9198265745998884
short_range,away_HQ,10.0,0,2923,1583,76,0.015601631925121177,0.5121041595978257,0.8759938491756439,0.8409728101071131,0.7930860542517986,0.18417172726323172,0.5203889938372375,0.85733536857405,0.9176762330218063,0.8125072105679453,0.8539048969226366,0.8147444668585254,0.8363363971215118,0.8163668533140741,0.8715638326183072,0.8599147604186503,0.9189223792696734,0.8620599850418993,0.9199910561796009
short_range,away_HQ,10.0,1,2923,1533,69,0.026325187630186753,0.4373378909253955,0.8759938491756439,0.8409728101071131,0.8212197365395354,0.16840539064016144,0.47415849072325483,0.8599071798296489,0.9118173091430409,0.7967189102930426,0.8389687739401661,0.7910428268572743,0.8395291193805975,0.7855406504762037,0.8601028327674061,0.8559564901158476,0.9135708632282238,0.8627447358639434,0.9140113695760153
short_range,away_HQ,10.0,2,2923,1589,70,-0.10287777404459464,0.4399006849468792,0.8759938491756439,0.8409728101071131,0.8194842163562649,0.17041032526921113,0.5078444613588022,0.8569940736596375,0.9166890136430005,0.8174604206141486,0.8624387580463857,0.8098039509947295,0.8528506229932866,0.8103740646926062,0.8788688600305301,0.8590886156155656,0.9192458622499192,0.8583525072050728,0.9198265745998884
long_range,iso,25.0,0,2923,1562,526,-0.1759349137813408,0.5028950335456069,0.8759938491756439,0.8409728101071131,0.8187825100358346,0.16865601950933906,0.3419505323907969,0.8419008377955384,0.8256630141823308,0.7267286349143554,0.7607842365822807,0.6963438799746052,0.7706257233310088,0.7165938660819385,0.7744345066473406,0.8223292281674166,0.847580791876269,0.8328218611898617,0.872206207701742
long_range,iso,25.0,1,2923,1576,533,-0.1915254956621089,0.4675579097778298,0.8759938491756439,0.8409728101071131,0.8348298908271437,0.158252774405131,0.5863939374466068,0.8393115940223882,0.8157662312221348,0.7215268906506681,0.7644925461066354,0.6974240943916655,0.7728500929681971,0.6983640262487603,0.7832215272314671,0.8181451190929276,0.8508332099278886,0.8281524058320483,0.8699751237638375
long_range,iso,25.0,2,2923,1545,514,-0.16079456505337322,0.506914195158436,0.8759938491756439,0.8409728101071131,0.8035394385183723,0.17516228287524008,0.29181571694429026,0.8456986646730243,0.821878515096968,0.7180922990482356,0.7624212479237864,0.695117654925635,0.7742145260956004,0.7051608144283559,0.7777495927090691,0.827079638240275,0.8506903940269558,0.8312108984836049,0.8722541242558739
long_range,toward_HQ,25.0,0,2923,1562,526,0.055510392533452885,0.5968071937152334,0.8759938491756439,0.8409728101071131,0.7701504599032308,0.1919891544027011,0.34050120043885934,0.837074775765218,0.8399370364149326,0.7267286349143554,0.7607842365822808,0.7171361993529537,0.7557256445818752,0.7165938660819385,0.7744345066473406,0.8223292281674166,0.847580791876269,0.8328218611898617,0.872206207701742
long_range,toward_HQ,25.0,1,2923,1576,533,0.05245251626944108,0.5783774920639418,0.8759938491756439,0.8409728101071131,0.7724620231460022,0.19344900310437974,0.271827958414818,0.8330946238410097,0.8367875686016275,0.7215268906506681,0.7644925461066353,0.6879854921433982,0.7585527601868298,0.6983640262487603,0.7832215272314671,0.8181451190929276,0.8508332099278886,0.8281524058320483,0.8699751237638375
