learner,species,strategy_vs_all,schoener_D,warren_I,range_top30_pct,range_top10_pct,top10_jaccard,mean_abs_diff
xgb,Pontastacus leptodactylus,filter->ipw,0.8712803451566786,0.9836845330614643,0.9833333333333361,3.7499999999999893,0.7699115044247787,0.00841713442580309
xgb,Procambarus clarkii,filter,0.7754787161722753,0.9516284000997896,-24.149999999999995,-27.950000000000003,0.6129032258064516,0.03295374545015366
xgb,Procambarus clarkii,trust,0.8714969222349462,0.9844473607687901,-15.833333333333329,-27.00000000000001,0.7574692442882249,0.024265927015054332
xgb,Procambarus clarkii,ipw,0.7744509895680441,0.952535511675031,-35.88333333333333,-42.2,0.6474464579901154,0.03390185020811041
xgb,Procambarus clarkii,ipw_str,0.7718258006956845,0.9515855578227848,-36.05,-41.7,0.6400164001640016,0.034245793703287924
xgb,Procambarus clarkii,filter->ipw,0.8758478446600635,0.9866028643883845,-12.266666666666666,-19.500000000000004,0.7722640673460346,0.015374032125950907
xgb,Austropotamobius pallipes,filter,0.6581049920332567,0.8587754834695064,-13.95,-30.450000000000003,0.6447368421052632,0.014888661583582688
xgb,Austropotamobius pallipes,trust,0.8311168421286872,0.9737212629079649,5.700000000000002,-8.500000000000007,0.8475750577367206,0.01017794601817111
xgb,Austropotamobius pallipes,ipw,0.6592321946738235,0.8595817960444465,-16.916666666666664,-29.450000000000003,0.6471799094277481,0.014880569375910164
xgb,Austropotamobius pallipes,ipw_str,0.6626926428142532,0.8606929819780729,-17.71666666666666,-29.00000000000001,0.6494845360824743,0.01476935762638367
xgb,Austropotamobius pallipes,filter->ipw,0.9149041086451108,0.9912657438632407,-3.4160973171138083,1.1499999999999981,0.8740046838407494,0.0032923265128803735
xgb,Austropotamobius torrentium,filter,0.45639169937178214,0.7464858799908555,-21.866666666666664,-51.1744127936032,0.5120937263794406,0.017663366858197537
xgb,Austropotamobius torrentium,trust,0.8280842516091766,0.9733672551567064,1.150000000000003,-1.499250374812595,0.843778801843318,0.008841521061586786
xgb,Austropotamobius torrentium,ipw,0.46082616050120206,0.7456749454269391,-19.25,-52.22388805597201,0.4979408461250468,0.017453045539133905
xgb,Austropotamobius torrentium,ipw_str,0.45969614842903794,0.7448168347993693,-24.78333333333333,-51.67416291854073,0.5069679849340867,0.017532142438098138
xgb,Austropotamobius torrentium,filter->ipw,0.887169011568603,0.9837382687833582,4.500000000000004,1.3999999999999984,0.7368649587494572,0.0016652959744870713
