build,beta,rho,winner,best,margin,rec_ALL,rec_FILTER,rec_IPW_est,rec_IPW_oracle
C_propfix,0.5,0.5,FILTER,FILTER,0.013220351215537773,0.9677353836320952,0.9866670973135935,0.9734467460980557,0.9989730094817107
C_propfix,0.5,0.75,FILTER,FILTER,0.048800902756679254,0.9258021919874273,0.9866670973135935,0.9378661945569142,0.9989730094817107
C_propfix,0.5,1.0,FILTER,FILTER,0.08566679081851658,0.8679159533578842,0.9866670973135935,0.9010003064950769,0.9989730094817107
C_propfix,1.0,0.0,ALL,ALL,0.00943003037657797,0.9984507279317582,0.9548672841240229,0.9890206975551802,0.9984037591005943
C_propfix,1.0,0.25,ALL,ALL,0.007350099428812484,0.9920728713953535,0.9548672841240229,0.984722771966541,0.9984037591005943
C_propfix,1.0,0.5,TIE,IPW_est,0.0010458096173866505,0.9643668586457247,0.9548672841240229,0.9654126682631113,0.9984037591005943
C_propfix,1.0,0.75,FILTER,FILTER,0.028638183875509426,0.9185174705471126,0.9548672841240229,0.9262291002485135,0.9984037591005943
C_propfix,1.0,1.0,FILTER,FILTER,0.07182851275240243,0.8605979982728844,0.9548672841240229,0.8830387713716205,0.9984037591005943
C_propfix,1.5,0.0,ALL,ALL,0.022729871522598533,0.9975795674738608,0.9250927213145121,0.9748496959512623,0.9960982290921876
C_propfix,1.5,0.25,ALL,ALL,0.017301319700742557,0.9901682396028821,0.9250927213145121,0.9728669199021396,0.9960982290921876
C_propfix,1.5,0.5,TIE,ALL,0.0045533399084248805,0.9600185143074378,0.9250927213145121,0.9554651743990129,0.9960982290921876
C_propfix,1.5,0.75,FILTER,FILTER,0.008223723080219458,0.9105324614426273,0.9250927213145121,0.9168689982342927,0.9960982290921876
C_propfix,1.5,1.0,FILTER,FILTER,0.05397923291831419,0.8517085366534733,0.9250927213145121,0.871113488396198,0.9960982290921876
C_propfix,2.0,0.0,ALL,ALL,0.04052504287188907,0.9968151522513014,0.9004675018409174,0.9562901093794123,0.9911538399156057
C_propfix,2.0,0.25,ALL,ALL,0.03170835339288314,0.9890889207574234,0.9004675018409174,0.9573805673645402,0.9911538399156057
C_propfix,2.0,0.5,ALL,ALL,0.012434844771643472,0.9557415761355152,0.9004675018409174,0.9433067313638718,0.9911538399156057
C_propfix,2.0,0.75,TIE,IPW_est,0.0035581181336693524,0.9026474050846859,0.9004675018409174,0.9062055232183552,0.9911538399156057
C_propfix,2.0,1.0,FILTER,FILTER,0.040693426737025584,0.8426363844957943,0.9004675018409174,0.8597740751038918,0.9911538399156057
C_propfix,2.5,0.0,ALL,ALL,0.06248636345658609,0.9968815216150085,0.8816982599085554,0.9343951581584224,0.9834206500103216
C_propfix,2.5,0.25,ALL,ALL,0.04969382599891192,0.9880291596378712,0.8816982599085554,0.9383353336389593,0.9834206500103216
C_propfix,2.5,0.5,ALL,ALL,0.02444202622024516,0.953497268943252,0.8816982599085554,0.9290552427230069,0.9834206500103216
C_propfix,2.5,0.75,TIE,ALL,0.0026069096381209356,0.8981319520781742,0.8816982599085554,0.8955250424400533,0.9834206500103216
C_propfix,2.5,1.0,FILTER,FILTER,0.03142745829761273,0.8354337351682546,0.8816982599085554,0.8502708016109427,0.9834206500103216
C_propfix,3.0,0.0,ALL,ALL,0.08171811774513027,0.9973698432650666,0.8640876621944097,0.9156517255199363,0.970217494573776
C_propfix,3.0,0.25,ALL,ALL,0.06703170129570435,0.9874280479538535,0.8640876621944097,0.9203963466581492,0.970217494573776
C_propfix,3.0,0.5,ALL,ALL,0.036426238241554,0.9502049463735072,0.8640876621944097,0.9137787081319532,0.970217494573776
C_propfix,3.0,0.75,ALL,ALL,0.008753597997343099,0.8910145056337101,0.8640876621944097,0.882260907636367,0.970217494573776
C_propfix,3.0,1.0,FILTER,FILTER,0.02574223022696387,0.826390345819002,0.8640876621944097,0.8383454319674458,0.970217494573776
