beta,rho,D,seed,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc
0.0,0.75,10.0,5,0.5986666666666667,0.8441509176044216,0.9792488165231942,0.9331656080959463,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.989372753215598,0.9998971239195606,0.9996479289891116,0.9990271519443451,1.0529467653550073,1.7378671124609606,0.5218434838585561
0.0,0.75,10.0,6,0.6106666666666667,0.8289879365287433,0.9747070739383161,0.9195255650286588,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9878999060038813,0.9998489013491817,0.9997281802495147,0.9988916995513378,1.1098059516389809,1.7628501765083022,0.5230704055003889
0.0,0.75,10.0,7,0.5916666666666667,0.823917508806455,0.9740141666907567,0.9090124882351588,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.987592140706686,0.9998418486712266,0.9995367971351231,0.9990699102408194,1.2684879477209345,1.8847433176274508,0.5219729807415925
0.0,1.0,10.0,0,0.6006666666666667,0.7855213404371689,0.9604446513415364,0.8572917391740482,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.987655528672787,0.9998644264306731,0.9995504493937785,0.9977020181656152,1.4214133917899103,1.9504877952622197,0.5324498007222545
0.0,1.0,10.0,1,0.607,0.7864859104853783,0.9607028523899682,0.8584862880259305,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9928427036521882,0.9999495390017966,0.9998262036902636,0.9996604313988056,1.1022260035223526,1.7224099391998104,0.5108935475712392
0.0,1.0,10.0,2,0.604,0.7738396201562758,0.9560055208285598,0.843152871929688,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9818736683961982,0.9996396896242177,0.999412478841362,0.9994448440304466,1.1489233001509918,1.8333640178092254,0.5138031808147702
0.0,1.0,10.0,3,0.597,0.797269238662265,0.9638568637044522,0.8802408768509725,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9703023930521688,0.9992744237226863,0.9974687386822223,0.9995189380426345,1.0661577733778962,1.7540759562298316,0.5133372957979864
0.0,1.0,10.0,4,0.5966666666666667,0.7824309288131521,0.9589465165196069,0.8511252800221925,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9831380936462677,0.9997346040322473,0.9992766346298146,0.9988297543629109,1.083592666342018,1.7901559864983834,0.5253970635763424
0.0,1.0,10.0,5,0.5986666666666667,0.7923693559581181,0.9627986674558189,0.8681889055095695,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.989372753215598,0.9998971239195606,0.9996479289891116,0.9990271519443451,1.0529467653550073,1.7378671124609606,0.5218434838585561
0.0,1.0,10.0,6,0.6106666666666667,0.782434645938423,0.9589266091216918,0.8542056887306968,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9878999060038813,0.9998489013491817,0.9997281802495147,0.9988916995513378,1.1098059516389809,1.7628501765083022,0.5230704055003889
0.0,1.0,10.0,7,0.5916666666666667,0.7766896014820053,0.9573540460958808,0.8403299257848529,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.987592140706686,0.9998418486712266,0.9995367971351231,0.9990699102408194,1.2684879477209345,1.8847433176274508,0.5219729807415925
0.5,0.0,10.0,0,0.601,0.8958172671438067,0.9895618474591308,0.9980840807792517,0.9259372388476391,0.995336832515242,0.9858340655473085,0.9698691972040842,0.9992727760407697,0.9980798149232176,0.9851708373103807,0.9997763686274794,0.9993641890761689,0.9480645775170368,3.5476984266810723,3.0081687150253864,0.6423778062275304
0.5,0.0,10.0,1,0.6016666666666667,0.8963440754902143,0.9897462912087089,0.9989506199341498,0.9232402797341468,0.9951129164258633,0.9842207744505436,0.9938634430067032,0.9999623012663723,0.9999318297230156,0.994143581232497,0.9999664804219204,0.9999093548284578,0.9570996511427214,2.488654609229114,2.918156983095934,0.6365122451581497
0.5,0.0,10.0,2,0.6073333333333333,0.8885914274018423,0.9880872805896221,0.9965216596776816,0.9273855786203093,0.9954771703352394,0.9848994109054461,0.9854349360824064,0.9997524518426394,0.9991196795950809,0.9795286042673339,0.9994925765452587,0.9982325749930592,0.96719593436681,2.1026745423134163,2.6181408455628645,0.6258412088434322
0.5,0.0,10.0,3,0.598,0.8914684365849241,0.9886321820187893,0.9955924630829791,0.9520226515150687,0.9981181817926632,0.9936186053357503,0.969938420998898,0.9992643145625311,0.997473747619589,0.9707805074784457,0.9993191593163601,0.9977153318670698,0.961571186648592,2.2385413887912704,2.7134322147057417,0.631371893782666
0.5,0.0,10.0,4,0.6003333333333334,0.8990568034386313,0.9902878791826161,0.998092711172293,0.9365297666671868,0.996695886566539,0.9892747042075059,0.9826427101477284,0.9997287042278465,0.9991426757830413,0.9841046244414141,0.9997562097358382,0.9994986888114908,0.9734373634273443,1.8565389928781197,2.5279709267262804,0.6125829455325301
0.5,0.0,10.0,5,0.599,0.8941561619371002,0.9893289640556808,0.9991595196258118,0.9385976063294804,0.9968845410455563,0.9893931273720541,0.9871168630751941,0.999862853653805,0.9995462734024755,0.9917954687187222,0.9999449647676772,0.9998108563870882,0.9643910664469985,2.2762633188663925,2.7100314847412434,0.6261738530690525
0.5,0.0,10.0,6,0.616,0.8782135607820836,0.985764150804108,0.9964025631942692,0.9326290534892536,0.9962915259141574,0.9872306265378656,0.9910211003909676,0.9999122365078535,0.9998289413537753,0.9935223762394162,0.9999620228306018,0.9999258765672507,0.9655243742842597,2.3102748043050614,2.5517641428096116,0.6284581304112554
0.5,0.0,10.0,7,0.5973333333333334,0.8964205655861699,0.9898291856217827,0.9995678710666263,0.9108719452850226,0.9931440740384782,0.9788654641522739,0.976073690587762,0.999424190303706,0.998661113453491,0.980635490213837,0.9996466388467306,0.9993136840394993,0.9491966797050982,3.8787691618103364,3.1540511640120696,0.6328732464374409
0.5,0.25,10.0,0,0.601,0.9241216543768515,0.9948454852133016,0.9925422435975719,0.9259372388476391,0.995336832515242,0.9858340655473085,0.9698691972040842,0.9992727760407697,0.9980798149232176,0.9851708373103807,0.9997763686274794,0.9993641890761689,0.9480645775170368,3.5476984266810723,3.0081687150253864,0.6423778062275304
0.5,0.25,10.0,1,0.6016666666666667,0.9206843354738855,0.9945034348119584,0.9907716792445036,0.9232402797341468,0.9951129164258633,0.9842207744505436,0.9938634430067032,0.9999623012663723,0.9999318297230156,0.994143581232497,0.9999664804219204,0.9999093548284578,0.9570996511427214,2.488654609229114,2.918156983095934,0.6365122451581497
0.5,0.25,10.0,2,0.6073333333333333,0.9113473066994714,0.9929675746251364,0.9895503143019967,0.9273855786203093,0.9954771703352394,0.9848994109054461,0.9854349360824064,0.9997524518426394,0.9991196795950809,0.9795286042673339,0.9994925765452587,0.9982325749930592,0.96719593436681,2.1026745423134163,2.6181408455628645,0.6258412088434322
0.5,0.25,10.0,3,0.598,0.9283314033285133,0.9951742038001893,0.9970592037520835,0.9520226515150687,0.9981181817926632,0.9936186053357503,0.969938420998898,0.9992643145625311,0.997473747619589,0.9707805074784457,0.9993191593163601,0.9977153318670698,0.961571186648592,2.2385413887912704,2.7134322147057417,0.631371893782666
0.5,0.25,10.0,4,0.6003333333333334,0.9217558550817717,0.9946197407363594,0.9903792579372949,0.9365297666671868,0.996695886566539,0.9892747042075059,0.9826427101477284,0.9997287042278465,0.9991426757830413,0.9841046244414141,0.9997562097358382,0.9994986888114908,0.9734373634273443,1.8565389928781197,2.5279709267262804,0.6125829455325301
0.5,0.25,10.0,5,0.599,0.9255631856048863,0.994992022087963,0.9945599363656482,0.9385976063294804,0.9968845410455563,0.9893931273720541,0.9871168630751941,0.999862853653805,0.9995462734024755,0.9917954687187222,0.9999449647676772,0.9998108563870882,0.9643910664469985,2.2762633188663925,2.7100314847412434,0.6261738530690525
0.5,0.25,10.0,6,0.616,0.915293761974491,0.9933784715586323,0.9947593720136785,0.9326290534892536,0.9962915259141574,0.9872306265378656,0.9910211003909676,0.9999122365078535,0.9998289413537753,0.9935223762394162,0.9999620228306018,0.9999258765672507,0.9655243742842597,2.3102748043050614,2.5517641428096116,0.6284581304112554
0.5,0.25,10.0,7,0.5973333333333334,0.919241032729505,0.9943406421384127,0.9895890734797406,0.9108719452850226,0.9931440740384782,0.9788654641522739,0.976073690587762,0.999424190303706,0.998661113453491,0.980635490213837,0.9996466388467306,0.9993136840394993,0.9491966797050982,3.8787691618103364,3.1540511640120696,0.6328732464374409
