geom,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
toward_HQ,1.0,1.0,10.0,7,1,blend,obs,0.6033333333333334,0.7699202393846724,0.9568045251519185,0.845652222599071,0.8501112400309618,0.9801122755880108,0.9445647270677601,0.9594249034537108,0.9982293893805226,0.9960754133898932,0.7754439404942528,0.9586880878119721,0.8587021948341594,0.7972698196997354,0.8938973650557261,0.7296066250298813,13.866851384639602,4.645605175635105,0.6883882724360463,0.21270628931771413,-0.7315426808469625,0.698003734439585,9.954291599826151
toward_HQ,2.0,0.0,10.0,0,1,blend,obs,0.6,0.8934420158542888,0.9890189151335664,0.9966139831474613,0.787255429824713,0.957724427490152,0.8998502183494667,0.9258383204673957,0.9940907077519977,0.9872593311940334,0.8784786699396856,0.9853065170995636,0.9518463696674864,0.9197001742627284,0.8826753546216863,0.40263477498757894,45.48554446369273,6.003437206394605,0.7737581018518519,0.17455670724093572,2.258386353556965,0.05967257417462921,9.793383049881383
toward_HQ,2.0,0.0,10.0,1,1,blend,obs,0.5966666666666667,0.8869202364538114,0.9879575696319075,0.9987009368244852,0.774709313967503,0.9537361642278336,0.8920983371072839,0.9165347559214728,0.9926547389943703,0.9836681602324191,0.863043052014617,0.9828632358657788,0.9440273576244771,0.9206999656014314,0.8874817357629519,0.6368002968282157,13.748709897577989,5.463151218901595,0.7902458562260491,0.16780351804836693,2.3368886929505077,0.0488858302358794,9.821425465836382
toward_HQ,2.0,0.0,10.0,2,1,blend,obs,0.6046666666666667,0.877821776487426,0.9858123939346919,0.9984156476053859,0.7850717389353932,0.9578865674355319,0.8937483684701895,0.9481574736701485,0.997078283363042,0.9930975395462095,0.878141492755907,0.9869074973759946,0.9550689915793995,0.9099552837905945,0.8862561101382573,0.3212427984091446,56.123434663326506,5.600154899366614,0.7818705831168856,0.1721549634545004,2.214205163988998,0.05386086178968535,9.767162977902284
toward_HQ,2.0,0.0,10.0,3,1,blend,obs,0.5983333333333334,0.8737186079143759,0.9844191858807265,0.9894799382785968,0.8079316280937092,0.9655901910205178,0.9184700670199891,0.9534730804124556,0.997748250565146,0.9972544594026634,0.8991363833799415,0.9899703679024161,0.9685499611489105,0.917579531429356,0.8912508313782271,0.42772658831151583,30.857566185074955,5.005418439716426,0.7937990499196709,0.16732949584546317,2.2008848848904936,0.023844025408935054,9.816934021585464
toward_HQ,2.0,0.0,10.0,4,1,blend,obs,0.5976666666666667,0.8956323960208719,0.9896290550120994,0.998823336933248,0.7827122833292421,0.9565694454015025,0.9029340586933561,0.9321270980146901,0.9950966505595682,0.9917775235825482,0.8862483896598048,0.9879844634319609,0.9621893298687962,0.925831322522548,0.8804979399318755,0.41568170492405615,35.41029406579819,6.307673112418003,0.784054809484181,0.1723981001656305,2.2505186145985414,0.04772345826449128,9.801014899561594
toward_HQ,2.0,0.0,10.0,5,1,blend,obs,0.6033333333333334,0.8852855878121241,0.9874008646146534,0.9974553176643166,0.7966249350121454,0.9623905313025133,0.907344971502306,0.9610693840620159,0.9983398675258328,0.9959690326622014,0.8940137531576695,0.9893363430915543,0.9635299591731052,0.9186081047088988,0.8730572052043082,0.35126335372130313,48.41471515177036,6.128541704772525,0.7815991921630532,0.17380106671378742,2.1064420326126565,0.05217399738339358,9.768467403522363
toward_HQ,2.0,0.0,10.0,6,1,blend,obs,0.6173333333333333,0.8823773687795065,0.9867746112451244,0.9979578471858335,0.7920989997538872,0.9604863812541056,0.9006596288161807,0.9484827776734923,0.9970901436344174,0.9931526605973667,0.8809690945537353,0.9863230911161927,0.9563470599469236,0.9156923032355775,0.8936620049439661,0.7406206555212175,11.787808638582828,4.548189978667956,0.7879093888516793,0.1679022511322063,2.2212815443234324,0.02780847867436745,9.810271601266427
toward_HQ,2.0,0.0,10.0,7,1,blend,obs,0.6053333333333333,0.8931686025777563,0.989054900054878,0.9970742103710831,0.7740182950418174,0.9532281616190881,0.888634364768567,0.9322029658069678,0.9950127844368072,0.9870520121074039,0.8737122630693003,0.9848844001279856,0.9487618460262002,0.9200540567931399,0.8693179288858084,0.5757392954977796,21.91494853885476,6.72666847985303,0.778437630223836,0.1733492742544523,2.228953401371136,0.05642250060656889,9.85178756776774
toward_HQ,2.0,0.5,10.0,0,1,blend,obs,0.6,0.8318378784114723,0.9725075337740304,0.9072922718228509,0.787255429824713,0.957724427490152,0.8998502183494667,0.9258383204673957,0.9940907077519977,0.9872593311940334,0.8245756067917225,0.9704827060952274,0.9103038231317864,0.8698675884549476,0.9293275056972142,0.892888309142022,7.486189609727022,3.807780655788715,0.6353016203703703,0.2218640600411834,1.0335264676915914,0.4688409890774172,9.88392902594931
