name,unit,n,retain,med_unc_low_m,rho_bar_u,contamination_scale,auc,brier,ess_p99,dess,eff_coef_obs,eff_coef_calib,coef_gap,calib_coverage,smd_before,smd_after
Calopteryx virgo,species,1587,0.6635160680529301,250.0,0.9868192896041605,0.013180710395839457,0.69980366422314,0.2028001320031504,0.7572151949255777,0.005663182228236252,0.0678636164916342,0.060927022930513844,0.006936593561120349,0.31647940074906367,0.09075193583451387,0.047047496746842186
Coenagrion puella,species,4129,0.693872608379753,250.0,0.9855439674941453,0.014456032505854699,0.6661926734707403,0.19710537886206517,0.8929470906112696,-0.009138811090943055,0.09931830689293887,0.08849896290157364,0.010819343991365235,0.28322784810126583,0.0686942110494922,0.012365825590358192
Enallagma cyathigerum,species,1624,0.6114532019704434,250.0,0.9889069302736737,0.011093069726326288,0.591505834023585,0.23957902333105488,0.8109348597318327,0.018698515298443352,-0.0748312837813761,-0.0850935357996461,0.010262252018269996,0.24088748019017434,0.061634665216733685,0.0514667793159193
Ischnura elegans,species,3252,0.6543665436654367,250.0,0.985335844544188,0.014664155455812011,0.6399541865116529,0.22227288860488476,0.845910788374189,0.010343906925033175,0.11111294378347797,0.100210844904317,0.010902098879160965,0.2846975088967972,0.08861561553593424,0.06084557941739164
Libellula depressa,species,2148,0.6447858472998138,250.0,0.9880713063575858,0.011928693642414223,0.6828432323480844,0.20914372919880275,0.8485626756389836,-0.0017589033174687518,0.02649713220651356,0.025638601386253432,0.0008585308202601269,0.23328964613368283,0.08076284788689375,0.019570106466579355
Libellula quadrimaculata,species,2493,0.6871239470517448,250.0,0.9866158602918621,0.013384139708137899,0.6695361264538147,0.2037271338225019,0.8624744348565379,-0.0009273892385611715,0.20188855736107134,0.20313562615720127,0.0012470687961299298,0.24871794871794872,0.07604777112644188,0.016454668449656047
Orthetrum cancellatum,species,1936,0.618801652892562,250.0,0.9890677864050478,0.010932213594952223,0.6704376309205496,0.21994590936635694,0.8417726649435171,-0.004441981579605514,0.13066818540671668,0.11860370076332885,0.01206448464338783,0.24119241192411925,0.09688602967379083,0.007102029795368117
Platycnemis pennipes,species,1751,0.67390062821245,250.0,0.9809977089664493,0.019002291033550667,0.6456180058772893,0.22505112450097983,0.6789150028147093,0.02764411289886015,0.04438878142888871,0.053730451023006415,0.009341669594117703,0.3905429071803853,0.09579467708899592,0.12516405714003298
Pyrrhosoma nymphula,species,5137,0.7237687366167024,250.0,0.9808477754324038,0.019152224567596243,0.6313540094642713,0.19092395890038064,0.942063610932817,0.0013990989270491472,0.08346195911109838,0.08288410695741956,0.0005778521536788234,0.3079633544749824,0.06964423326071233,0.007946402503302257
orchidaceae,group,24163,0.27749037785043246,5000.0,0.9262904021044575,0.07370959789554254,0.5462612944978676,0.20221906011234078,0.9165141147305467,-0.24963830573837487,0.0008535687921926076,-0.019098823828567205,0.019952392620759814,0.6990491465230839,0.04898995679135697,0.023030245957098714
Neottia ovata,species,1555,0.41864951768488745,3536.0,0.962535474990539,0.03746452500946096,0.5951259464676535,0.24361388987247165,0.47976474236362315,-0.2130969494924147,-0.019715291798655596,-0.032472423321134994,0.012757131522479398,0.5984513274336283,0.08532299923523447,0.13558700901370468
Orchis militaris,species,1832,0.15502183406113537,26454.0,0.8772033446313966,0.1227966553686034,0.45180400880736615,0.14903665362968135,0.19753325961060356,-0.13474926014344907,-0.019526928172354772,-0.08878335102830612,0.06925642285595135,0.8094315245478036,0.05221872308840237,0.5186123022610583
